0 0.509101 -15.2284 -7.10531 0 0 2.81913 3.00097 10.5663 12.0332 
50 0.520061 -11.301 -9.30543 0 0 2.87753 2.95977 11.6407 10.6659 
100 0.523409 -10.7602 -9.33592 0 0 2.90254 2.96188 11.7758 10.3666 
150 0.525251 -10.9429 -8.74232 0 0 2.90382 2.99073 11.4743 10.3213 
200 0.526624 -10.4628 -8.88867 0 0 2.91915 3.00718 11.3342 10.0652 
250 0.531466 -10.3404 -8.78199 0 0 2.93034 3.02702 11.2225 9.87418 
300 0.534412 -10.0683 -8.6283 0 0 2.9427 3.04939 11.1232 9.79347 
350 0.532765 -9.85737 -8.59152 0 0 2.95761 3.06528 10.9843 9.55213 
400 0.535665 -9.788 -8.37458 0 0 2.96962 3.08317 10.8888 9.60335 
450 0.535415 -9.48434 -8.37913 0 0 2.9831 3.09961 10.819 9.33045 
