
# Surface 0 of 1 surfaces

# IsoCurve 0, 200 points
# x y z type
 1.17462e-13 -19.1571  19.6687 o
 1.17462e-13 -19.0319  20.0608 o
 1.17462e-13 -18.9066  20.0486 o
 1.17462e-13 -18.7814  20.4409 o
 1.17462e-13 -18.6562  20.4503 o
 1.17462e-13 -18.531  20.8443 o
 1.17462e-13 -18.4058  20.8751 o
 1.17462e-13 -18.2806  21.2717 o
 1.17462e-13 -18.1554  21.3237 o
 1.17462e-13 -18.0302  21.7244 o
 1.17462e-13 -17.905  21.7979 o
 1.17462e-13 -17.7798  22.2035 o
 1.17462e-13 -17.6545  22.2982 o
 1.17462e-13 -17.5293  22.7095 o
 1.17462e-13 -17.4041  22.8256 o
 1.17462e-13 -17.2789  23.2439 o
 1.17462e-13 -17.1537  23.3819 o
 1.17462e-13 -17.0285  23.8074 o
 1.17462e-13 -16.9033  23.9662 o
 1.17462e-13 -16.7781  24.3985 o
 1.17462e-13 -16.6529  24.5774 o
 1.17462e-13 -16.5277  25.0162 o
 1.17462e-13 -16.4025  25.214 o
 1.17462e-13 -16.2772  25.6532 o
 1.17462e-13 -16.152  25.856 o
 1.17462e-13 -16.0268  26.2786 o
 1.17462e-13 -15.9016  26.4571 o
 1.17462e-13 -15.7764  26.8116 o
 1.17462e-13 -15.6512  26.9181 o
 1.17462e-13 -15.526  27.1522 o
 1.17462e-13 -15.4008  27.1245 o
 1.17462e-13 -15.2756  27.2135 o
 1.17462e-13 -15.1504  27.0795 o
 1.17462e-13 -15.0251  27.0461 o
 1.17462e-13 -14.8999  26.7967 o
 1.17462e-13 -14.7747  26.6313 o
 1.17462e-13 -14.6495  26.2846 o
 1.17462e-13 -14.5243  26.0234 o
 1.17462e-13 -14.3991  25.6155 o
 1.17462e-13 -14.2739  25.3114 o
 1.17462e-13 -14.1487  24.9089 o
 1.17462e-13 -14.0235  24.6009 o
 1.17462e-13 -13.8983  24.2152 o
 1.17462e-13 -13.7731  23.9103 o
 1.17462e-13 -13.6478  23.5441 o
 1.17462e-13 -13.5226  23.2449 o
 1.17462e-13 -13.3974  22.9001 o
 1.17462e-13 -13.2722  22.6091 o
 1.17462e-13 -13.147  22.2872 o
 1.17462e-13 -13.0218  22.0058 o
 1.17462e-13 -12.8966  21.7063 o
 1.17462e-13 -12.7714  21.4345 o
 1.17462e-13 -12.6462  21.1556 o
 1.17462e-13 -12.521  20.8918 o
 1.17462e-13 -12.3957  20.6322 o
 1.17462e-13 -12.2705  20.3764 o
 1.17462e-13 -12.1453  20.1352 o
 1.17462e-13 -12.0201  19.887 o
 1.17462e-13 -11.8949  19.6636 o
 1.17462e-13 -11.7697  19.4224 o
 1.17462e-13 -11.6445  19.2157 o
 1.17462e-13 -11.5193  18.9813 o
 1.17462e-13 -11.3941  18.7904 o
 1.17462e-13 -11.2689  18.5615 o
 1.17462e-13 -11.1436  18.3855 o
 1.17462e-13 -11.0184  18.1623 o
 1.17462e-13 -10.8932  18.0008 o
 1.17462e-13 -10.768  17.7829 o
 1.17462e-13 -10.6428  17.635 o
 1.17462e-13 -10.5176  17.4214 o
 1.17462e-13 -10.3924  17.2863 o
 1.17462e-13 -10.2672  17.0766 o
 1.17462e-13 -10.142  16.9538 o
 1.17462e-13 -10.0168  16.7476 o
 1.17462e-13 -9.89155  16.6365 o
 1.17462e-13 -9.76634  16.4339 o
 1.17462e-13 -9.64114  16.3344 o
 1.17462e-13 -9.51593  16.1345 o
 1.17462e-13 -9.39072  16.0462 o
 1.17462e-13 -9.26551  15.8488 o
 1.17462e-13 -9.1403  15.7712 o
 1.17462e-13 -9.01509  15.5758 o
 1.17462e-13 -8.88988  15.5088 o
 1.17462e-13 -8.76467  15.315 o
 1.17462e-13 -8.63946  15.2586 o
 1.17462e-13 -8.51425  15.0662 o
 1.17462e-13 -8.38904  15.0201 o
 1.17462e-13 -8.26383  14.8286 o
 1.17462e-13 -8.13862  14.7928 o
 1.17462e-13 -8.01341  14.602 o
 1.17462e-13 -7.8882  14.5763 o
 1.17462e-13 -7.76299  14.3854 o
 1.17462e-13 -7.63778  14.3696 o
 1.17462e-13 -7.51257  14.178 o
 1.17462e-13 -7.38736  14.172 o
 1.17462e-13 -7.26215  13.9796 o
 1.17462e-13 -7.13694  13.9838 o
 1.17462e-13 -7.01173  13.7903 o
 1.17462e-13 -6.88653  13.8049 o
 1.17462e-13 -6.76132  13.6096 o
 1.17462e-13 -6.63611  13.6348 o
 1.17462e-13 -6.5109  13.4372 o
 1.17462e-13 -6.38569  13.4733 o
 1.17462e-13 -6.26048  13.2728 o
 1.17462e-13 -6.13527  13.3201 o
 1.17462e-13 -6.01006  13.1161 o
 1.17462e-13 -5.88485  13.1751 o
 1.17462e-13 -5.75964  12.9667 o
 1.17462e-13 -5.63443  13.0379 o
 1.17462e-13 -5.50922  12.8245 o
 1.17462e-13 -5.38401  12.9084 o
 1.17462e-13 -5.2588  12.6889 o
 1.17462e-13 -5.13359  12.7864 o
 1.17462e-13 -5.00838  12.5599 o
 1.17462e-13 -4.88317  12.672 o
 1.17462e-13 -4.75796  12.4372 o
 1.17462e-13 -4.63275  12.565 o
 1.17462e-13 -4.50754  12.3208 o
 1.17462e-13 -4.38233  12.4657 o
 1.17462e-13 -4.25712  12.2104 o
 1.17462e-13 -4.13192  12.3741 o
 1.17462e-13 -4.00671  12.1055 o
 1.17462e-13 -3.8815  12.2897 o
 1.17462e-13 -3.75629  12.0059 o
 1.17462e-13 -3.63108  12.2133 o
 1.17462e-13 -3.50587  11.9114 o
 1.17462e-13 -3.38066  12.1448 o
 1.17462e-13 -3.25545  11.8215 o
 1.17462e-13 -3.13024  12.0846 o
 1.17462e-13 -3.00503  11.7356 o
 1.17462e-13 -2.87982  12.033 o
 1.17462e-13 -2.75461  11.6527 o
 1.17462e-13 -2.6294  11.9903 o
 1.17462e-13 -2.50419  11.5719 o
 1.17462e-13 -2.37898  11.9575 o
 1.17462e-13 -2.25377  11.4915 o
 1.17462e-13 -2.12856  11.9352 o
 1.17462e-13 -2.00335  11.4087 o
 1.17462e-13 -1.87814  11.9245 o
 1.17462e-13 -1.75293  11.3192 o
 1.17462e-13 -1.62772  11.9269 o
 1.17462e-13 -1.50251  11.2155 o
 1.17462e-13 -1.37731  11.9444 o
 1.17462e-13 -1.2521  11.084 o
 1.17462e-13 -1.12689  11.9795 o
 1.17462e-13 -1.00168  10.8975 o
 1.17462e-13 -0.876467  12.0363 o
 1.17462e-13 -0.751257  10.5948 o
 1.17462e-13 -0.626048  12.1207 o
 1.17462e-13 -0.500838  10.0103 o
 1.17462e-13 -0.375629  12.2454 o
 1.17462e-13 -0.250419  8.51038 o
 1.17462e-13 -0.12521  12.4405 o
 1.17462e-13  1.17462e-13  1.50425e-08 o

# IsoCurve 1, 200 points
# x y z type
-0.12521 -24.9167  16.7218 o
-0.12521 -24.7915  16.589 o
-0.12521 -24.6663  16.3921 o
-0.12521 -24.5411  16.3682 o
-0.12521 -24.4159  16.2385 o
-0.12521 -24.2907  16.2543 o
-0.12521 -24.1654  16.1609 o
-0.12521 -24.0402  16.2004 o
-0.12521 -23.915  16.1323 o
-0.12521 -23.7898  16.1885 o
-0.12521 -23.6646  16.1399 o
-0.12521 -23.5394  16.2092 o
-0.12521 -23.4142  16.1769 o
-0.12521 -23.289  16.257 o
-0.12521 -23.1638  16.2387 o
-0.12521 -23.0386  16.3283 o
-0.12521 -22.9133  16.3224 o
-0.12521 -22.7881  16.4205 o
-0.12521 -22.6629  16.426 o
-0.12521 -22.5377  16.532 o
-0.12521 -22.4125  16.5482 o
-0.12521 -22.2873  16.6617 o
-0.12521 -22.1621  16.6881 o
-0.12521 -22.0369  16.8088 o
-0.12521 -21.9117  16.8449 o
-0.12521 -21.7865  16.9727 o
-0.12521 -21.6613  17.0184 o
-0.12521 -21.536  17.1532 o
-0.12521 -21.4108  17.2084 o
-0.12521 -21.2856  17.3503 o
-0.12521 -21.1604  17.4148 o
-0.12521 -21.0352  17.5638 o
-0.12521 -20.91  17.6377 o
-0.12521 -20.7848  17.7941 o
-0.12521 -20.6596  17.8775 o
-0.12521 -20.5344  18.0414 o
-0.12521 -20.4092  18.1345 o
-0.12521 -20.2839  18.3063 o
-0.12521 -20.1587  18.4091 o
-0.12521 -20.0335  18.5887 o
-0.12521 -19.9083  18.7015 o
-0.12521 -19.7831  18.8895 o
-0.12521 -19.6579  19.0128 o
-0.12521 -19.5327  19.2098 o
-0.12521 -19.4075  19.3439 o
-0.12521 -19.2823  19.55 o
-0.12521 -19.1571  19.6953 o
-0.12521 -19.0319  19.9112 o
-0.12521 -18.9066  20.0684 o
-0.12521 -18.7814  20.295 o
-0.12521 -18.6562  20.4648 o
-0.12521 -18.531  20.7024 o
-0.12521 -18.4058  20.8852 o
-0.12521 -18.2806  21.1344 o
-0.12521 -18.1554  21.3306 o
-0.12521 -18.0302  21.592 o
-0.12521 -17.905  21.8025 o
-0.12521 -17.7798  22.0767 o
-0.12521 -17.6545  22.3017 o
-0.12521 -17.5293  22.5888 o
-0.12521 -17.4041  22.8289 o
-0.12521 -17.2789  23.13 o
-0.12521 -17.1537  23.3861 o
-0.12521 -17.0285  23.7011 o
-0.12521 -16.9033  23.9725 o
-0.12521 -16.7781  24.3007 o
-0.12521 -16.6529  24.5867 o
-0.12521 -16.5277  24.9278 o
-0.12521 -16.4025  25.2275 o
-0.12521 -16.2772  25.5751 o
-0.12521 -16.152  25.8745 o
-0.12521 -16.0268  26.2113 o
-0.12521 -15.9016  26.4806 o
-0.12521 -15.7764  26.7546 o
-0.12521 -15.6512  26.9451 o
-0.12521 -15.526  27.1036 o
-0.12521 -15.4008  27.1511 o
-0.12521 -15.2756  27.1695 o
-0.12521 -15.1504  27.1021 o
-0.12521 -15.0251  27.0037 o
-0.12521 -14.8999  26.8115 o
-0.12521 -14.7747  26.5866 o
-0.12521 -14.6495  26.288 o
-0.12521 -14.5243  25.9734 o
-0.12521 -14.3991  25.6051 o
-0.12521 -14.2739  25.2545 o
-0.12521 -14.1487  24.8848 o
-0.12521 -14.0235  24.5374 o
-0.12521 -13.8983  24.1785 o
-0.12521 -13.7731  23.8409 o
-0.12521 -13.6478  23.4957 o
-0.12521 -13.5226  23.1702 o
-0.12521 -13.3974  22.8412 o
-0.12521 -13.2722  22.5299 o
-0.12521 -13.147  22.2188 o
-0.12521 -13.0218  21.9226 o
-0.12521 -12.8966  21.6294 o
-0.12521 -12.7714  21.3481 o
-0.12521 -12.6462  21.0711 o
-0.12521 -12.521  20.8027 o
-0.12521 -12.3957  20.5409 o
-0.12521 -12.2705  20.2851 o
-0.12521 -12.1453  20.0378 o
